case,truth,predicted,score,method,correct,iters,time_s,dataset,q_type,failure_type,confidence_bucket
1,B,B,1.0,letter_match,True,1,52.1,medqa,ETHICS,CORRECT,1.0
2,D,D,1.0,letter_match,True,1,30.9,medqa,ETHICS,CORRECT,1.0
3,B,B,1.0,letter_match,True,2,60.0,medqa,ETHICS,CORRECT,1.0
4,D,D,1.0,letter_match,True,1,22.1,medqa,ETHICS,CORRECT,1.0
5,B,B,1.0,letter_match,True,1,31.5,medqa,NEXT_STEP,CORRECT,1.0
6,D,B,0.0,letter_match,False,1,74.1,medqa,ETHICS,ETHICS,0.0
7,C,C,1.0,letter_match,True,1,21.5,medqa,ETHICS,CORRECT,1.0
8,C,C,1.0,letter_match,True,1,40.2,medqa,ETHICS,CORRECT,1.0
9,B,B,1.0,letter_match,True,1,33.8,medqa,ETHICS,CORRECT,1.0
10,A,A,1.0,letter_match,True,1,23.3,medqa,ETHICS,CORRECT,1.0
11,D,D,1.0,letter_match,True,1,32.0,medqa,ETHICS,CORRECT,1.0
12,D,D,1.0,letter_match,True,1,34.9,medqa,NEXT_STEP,CORRECT,1.0
13,B,B,1.0,letter_match,True,2,41.4,medqa,ETHICS,CORRECT,1.0
14,D,D,1.0,letter_match,True,1,40.3,medqa,ETHICS,CORRECT,1.0
15,C,C,1.0,letter_match,True,1,53.1,medqa,OTHER,CORRECT,1.0
16,B,B,1.0,letter_match,True,1,56.0,medqa,ETHICS,CORRECT,1.0
17,D,D,1.0,letter_match,True,1,49.3,medqa,PHARMACOLOGY,CORRECT,1.0
18,D,D,1.0,letter_match,True,1,24.1,medqa,OTHER,CORRECT,1.0
19,B,B,1.0,letter_match,True,2,36.8,medqa,ETHICS,CORRECT,1.0
20,D,A,0.0,letter_match,False,1,20.9,medqa,ETHICS,ETHICS,0.0
21,C,C,1.0,letter_match,True,1,69.9,medqa,ETHICS,CORRECT,1.0
22,A,A,1.0,letter_match,True,1,41.4,medqa,ETHICS,CORRECT,1.0
23,C,D,0.0,letter_match,False,1,46.4,medqa,ETHICS,ETHICS,0.0
24,D,D,1.0,letter_match,True,1,15.7,medqa,ETHICS,CORRECT,1.0
25,A,A,1.0,letter_match,True,1,79.8,medqa,NEXT_STEP,CORRECT,1.0
26,D,D,1.0,letter_match,True,1,13.9,medqa,ETHICS,CORRECT,1.0
27,D,D,1.0,letter_match,True,1,18.5,medqa,ETHICS,CORRECT,1.0
28,A,A,1.0,letter_match,True,1,14.3,medqa,ETHICS,CORRECT,1.0
29,D,D,1.0,letter_match,True,1,52.9,medqa,ETHICS,CORRECT,1.0
30,C,C,1.0,letter_match,True,1,57.2,medqa,ETHICS,CORRECT,1.0
31,D,D,1.0,letter_match,True,1,25.6,medqa,ETHICS,CORRECT,1.0
32,C,C,1.0,letter_match,True,1,16.7,medqa,ETHICS,CORRECT,1.0
33,D,C,0.0,letter_match,False,1,45.6,medqa,ETHICS,ETHICS,0.0
34,B,D,0.0,letter_match,False,1,30.4,medqa,DIAGNOSIS,DIAGNOSIS,0.0
35,A,D,0.0,letter_match,False,1,23.1,medqa,ETHICS,ETHICS,0.0
36,A,A,1.0,letter_match,True,1,16.1,medqa,DIAGNOSIS,CORRECT,1.0
37,D,C,0.0,letter_match,False,1,32.7,medqa,DIAGNOSIS,DIAGNOSIS,0.0
38,A,A,1.0,letter_match,True,2,43.9,medqa,ETHICS,CORRECT,1.0
39,D,C,0.0,letter_match,False,1,26.7,medqa,ETHICS,ETHICS,0.0
40,A,A,1.0,letter_match,True,1,51.1,medqa,ETHICS,CORRECT,1.0
41,C,C,1.0,letter_match,True,1,15.1,medqa,ETHICS,CORRECT,1.0
42,C,C,1.0,letter_match,True,1,15.7,medqa,ETHICS,CORRECT,1.0
43,A,A,1.0,letter_match,True,1,24.1,medqa,ETHICS,CORRECT,1.0
44,B,B,1.0,letter_match,True,1,52.8,medqa,OTHER,CORRECT,1.0
45,A,C,0.0,letter_match,False,1,12.6,medqa,ETHICS,ETHICS,0.0
46,D,A,0.0,letter_match,False,1,15.9,medqa,ETHICS,ETHICS,0.0
47,C,B,0.0,letter_match,False,1,21.8,medqa,ETHICS,ETHICS,0.0
48,A,A,1.0,letter_match,True,1,36.4,medqa,DIAGNOSIS,CORRECT,1.0
49,B,B,1.0,letter_match,True,1,18.8,medqa,ETHICS,CORRECT,1.0
50,C,C,1.0,letter_match,True,1,11.8,medqa,ETHICS,CORRECT,1.0
